variable,frequency,timestep,br_level,br_size,br_ratio,all_br_levs
FLNT,daily,27,9,,,[9.0]
FLNT,daily,28,10,,,[10.0]
FLNT,daily,29,10,,,[10.0]
FLNT,daily,30,10,,,[10.0]
FLNT,daily,31,10,,,[10.0]
FLNT,daily,32,10,,,[10.0]
FLNT,daily,33,10,,,[10.0]
FLNT,daily,34,10,,,[10.0]
FLNT,daily,35,10,,,[10.0]
FLNT,daily,36,10,,,[10.0]
FLNT,daily,37,10,,,[10.0]
FLNT,daily,38,10,,,[10.0]
FLNT,daily,39,9,,,[9.0]
FLNT,daily,40,9,,,[9.0]
FLNT,daily,41,10,,,[10.0]
FLNT,daily,42,10,,,[10.0]
FLNT,daily,43,9,,,[9.0]
FLNT,daily,44,9,,,[9.0]
FLNT,daily,45,10,,,[10.0]
FLNT,daily,46,9,,,[9.0]
FLNT,daily,47,9,,,[9.0]
FLNT,daily,48,10,,,[10.0]
FLNT,daily,49,10,,,[10.0]
FLNT,daily,50,10,,,[10.0]
FLNT,daily,51,10,,,[10.0]
FLNT,daily,52,10,,,[10.0]
FLNT,daily,53,9,,,[9.0]
FLNT,daily,54,9,,,[9.0]
FLNT,daily,55,10,,,[10.0]
FLNT,daily,56,10,,,[10.0]
FLNT,daily,57,10,,,[10.0]
FLNT,daily,58,9,,,[9.0]
FLNT,daily,59,9,,,[9.0]
PRECC,daily,0,5,,,[5.0]
PRECC,daily,1,5,,,[5.0]
PRECC,daily,2,6,,,[6.0]
PRECC,daily,3,5,,,[5.0]
PRECC,daily,4,5,,,[5.0]
PRECC,daily,5,5,,,[5.0]
PRECC,daily,6,6,,,[6.0]
PRECC,daily,7,5,,,[5.0]
PRECC,daily,8,5,,,[5.0]
PRECC,daily,9,5,,,[5.0]
PRECC,daily,10,5,,,[5.0]
PRECC,daily,11,6,,,[6.0]
PRECC,daily,12,5,,,[5.0]
PRECC,daily,13,6,,,[6.0]
PRECC,daily,14,6,,,[6.0]
PRECC,daily,15,6,,,[6.0]
PRECC,daily,16,5,,,[5.0]
PRECC,daily,17,5,,,[5.0]
PRECC,daily,18,5,,,[5.0]
PRECC,daily,19,4,,,[4.0]
PRECC,daily,20,5,,,[5.0]
PRECC,daily,21,5,,,[5.0]
PRECC,daily,22,5,,,[5.0]
PRECC,daily,23,5,,,[5.0]
PRECC,daily,24,5,,,[5.0]
PRECC,daily,25,5,,,[5.0]
PRECC,daily,26,5,,,[5.0]
PRECC,daily,27,6,,,[6.0]
PRECC,daily,28,6,,,[6.0]
PRECC,daily,29,5,,,[5.0]
PRECC,daily,30,6,,,[6.0]
PRECC,daily,31,5,,,[5.0]
PRECC,daily,32,5,,,[5.0]
PRECC,daily,33,5,,,[5.0]
PRECC,daily,34,5,,,[5.0]
PRECC,daily,35,5,,,[5.0]
PRECC,daily,36,4,,,[4.0]
PRECC,daily,37,5,,,[5.0]
PRECC,daily,38,5,,,[5.0]
PRECC,daily,39,6,,,[6.0]
PRECC,daily,40,6,,,[6.0]
PRECC,daily,41,5,,,[5.0]
PRECC,daily,42,5,,,[5.0]
PRECC,daily,43,5,,,[5.0]
PRECC,daily,44,5,,,[5.0]
PRECC,daily,45,5,,,[5.0]
PRECC,daily,46,5,,,[5.0]
PRECC,daily,47,5,,,[5.0]
PRECC,daily,48,6,,,[6.0]
PRECC,daily,49,6,,,[6.0]
PRECC,daily,50,5,,,[5.0]
PRECC,daily,51,6,,,[6.0]
PRECC,daily,52,5,,,[5.0]
PRECC,daily,53,5,,,[5.0]
PRECC,daily,54,6,,,[6.0]
PRECC,daily,55,5,,,[5.0]
PRECC,daily,56,5,,,[5.0]
PRECC,daily,57,6,,,[6.0]
PRECC,daily,58,5,,,[5.0]
PRECC,daily,59,6,,,[6.0]
LHFLX,daily,0,6,,,[6.0]
LHFLX,daily,1,6,,,[6.0]
LHFLX,daily,2,6,,,[6.0]
LHFLX,daily,3,7,,,[7.0]
LHFLX,daily,4,6,,,[6.0]
LHFLX,daily,5,6,,,[6.0]
LHFLX,daily,6,6,,,[6.0]
LHFLX,daily,7,6,,,[6.0]
LHFLX,daily,8,6,,,[6.0]
LHFLX,daily,9,6,,,[6.0]
LHFLX,daily,10,6,,,[6.0]
LHFLX,daily,11,6,,,[6.0]
LHFLX,daily,12,6,,,[6.0]
LHFLX,daily,13,6,,,[6.0]
LHFLX,daily,14,6,,,[6.0]
LHFLX,daily,15,6,,,[6.0]
LHFLX,daily,16,6,,,[6.0]
LHFLX,daily,17,6,,,[6.0]
LHFLX,daily,18,6,,,[6.0]
LHFLX,daily,19,6,,,[6.0]
LHFLX,daily,20,6,,,[6.0]
LHFLX,daily,21,6,,,[6.0]
LHFLX,daily,22,6,,,[6.0]
LHFLX,daily,23,6,,,[6.0]
LHFLX,daily,24,6,,,[6.0]
LHFLX,daily,25,6,,,[6.0]
LHFLX,daily,26,6,,,[6.0]
LHFLX,daily,27,6,,,[6.0]
LHFLX,daily,28,6,,,[6.0]
LHFLX,daily,29,6,,,[6.0]
LHFLX,daily,30,6,,,[6.0]
LHFLX,daily,31,6,,,[6.0]
LHFLX,daily,32,6,,,[6.0]
LHFLX,daily,33,6,,,[6.0]
LHFLX,daily,34,6,,,[6.0]
LHFLX,daily,35,6,,,[6.0]
LHFLX,daily,36,6,,,[6.0]
LHFLX,daily,37,6,,,[6.0]
LHFLX,daily,38,6,,,[6.0]
LHFLX,daily,39,6,,,[6.0]
LHFLX,daily,40,6,,,[6.0]
LHFLX,daily,41,6,,,[6.0]
LHFLX,daily,42,6,,,[6.0]
LHFLX,daily,43,6,,,[6.0]
LHFLX,daily,44,6,,,[6.0]
LHFLX,daily,45,6,,,[6.0]
LHFLX,daily,46,6,,,[6.0]
LHFLX,daily,47,6,,,[6.0]
LHFLX,daily,48,6,,,[6.0]
LHFLX,daily,49,6,,,[6.0]
LHFLX,daily,50,6,,,[6.0]
LHFLX,daily,51,6,,,[6.0]
LHFLX,daily,52,6,,,[6.0]
LHFLX,daily,53,6,,,[6.0]
LHFLX,daily,54,6,,,[6.0]
LHFLX,daily,55,6,,,[6.0]
LHFLX,daily,56,6,,,[6.0]
LHFLX,daily,57,6,,,[6.0]
LHFLX,daily,58,6,,,[6.0]
LHFLX,daily,59,6,,,[6.0]
TS,daily,0,13,,,[13.0]
QFLX,daily,0,6,,,[6.0]
TS,daily,1,13,,,[13.0]
TS,daily,2,13,,,[13.0]
QFLX,daily,1,6,,,[6.0]
TS,daily,3,13,,,[13.0]
TS,daily,4,13,,,[13.0]
TS,daily,5,13,,,[13.0]
QFLX,daily,2,6,,,[6.0]
TS,daily,6,13,,,[13.0]
QFLX,daily,3,6,,,[6.0]
TS,daily,7,13,,,[13.0]
QFLX,daily,4,7,,,[7.0]
TS,daily,8,13,,,[13.0]
QFLX,daily,5,6,,,[6.0]
TS,daily,9,14,,,[14.0]
QFLX,daily,6,6,,,[6.0]
TS,daily,10,14,,,[14.0]
QFLX,daily,7,6,,,[6.0]
TS,daily,11,13,,,[13.0]
QFLX,daily,8,6,,,[6.0]
TS,daily,12,13,,,[13.0]
QFLX,daily,9,6,,,[6.0]
TS,daily,13,13,,,[13.0]
QFLX,daily,10,6,,,[6.0]
TS,daily,14,13,,,[13.0]
QFLX,daily,11,6,,,[6.0]
TS,daily,15,13,,,[13.0]
QFLX,daily,12,6,,,[6.0]
TS,daily,16,13,,,[13.0]
QFLX,daily,13,6,,,[6.0]
TS,daily,17,13,,,[13.0]
QFLX,daily,14,7,,,[7.0]
TS,daily,18,13,,,[13.0]
QFLX,daily,15,7,,,[7.0]
TS,daily,19,13,,,[13.0]
QFLX,daily,16,6,,,[6.0]
TS,daily,20,13,,,[13.0]
TS,daily,21,14,,,[14.0]
U,daily,0,9,,,[9.0]
QFLX,daily,17,7,,,[7.0]
TS,daily,22,14,,,[14.0]
TS,daily,23,13,,,[13.0]
QFLX,daily,18,6,,,[6.0]
U,daily,1,9,,,[9.0]
TS,daily,24,14,,,[14.0]
QFLX,daily,19,6,,,[6.0]
TS,daily,25,14,,,[14.0]
U,daily,2,9,,,[9.0]
QFLX,daily,20,6,,,[6.0]
TS,daily,26,13,,,[13.0]
TS,daily,27,13,,,[13.0]
U,daily,3,10,,,[10.0]
QFLX,daily,21,6,,,[6.0]
TS,daily,28,13,,,[13.0]
QFLX,daily,22,6,,,[6.0]
TS,daily,29,13,,,[13.0]
QFLX,daily,23,6,,,[6.0]
U,daily,4,10,,,[10.0]
TS,daily,30,13,,,[13.0]
QFLX,daily,24,6,,,[6.0]
TS,daily,31,13,,,[13.0]
QFLX,daily,25,6,,,[6.0]
U,daily,5,9,,,[9.0]
TS,daily,32,13,,,[13.0]
TS,daily,33,14,,,[14.0]
U,daily,6,8,,,[8.0]
QFLX,daily,26,6,,,[6.0]
TS,daily,34,13,,,[13.0]
TS,daily,35,13,,,[13.0]
QFLX,daily,27,6,,,[6.0]
U,daily,7,8,,,[8.0]
QFLX,daily,28,6,,,[6.0]
TS,daily,36,14,,,[14.0]
QFLX,daily,29,6,,,[6.0]
U,daily,8,10,,,[10.0]
TS,daily,37,14,,,[14.0]
QFLX,daily,30,6,,,[6.0]
TS,daily,38,14,,,[14.0]
U,daily,9,10,,,[10.0]
QFLX,daily,31,6,,,[6.0]
TS,daily,39,13,,,[13.0]
TS,daily,40,12,,,[12.0]
QFLX,daily,32,6,,,[6.0]
U,daily,10,10,,,[10.0]
TS,daily,41,13,,,[13.0]
TS,daily,42,13,,,[13.0]
QFLX,daily,33,6,,,[6.0]
U,daily,11,9,,,[9.0]
TS,daily,43,13,,,[13.0]
TS,daily,44,13,,,[13.0]
U,daily,12,8,,,[8.0]
QFLX,daily,34,6,,,[6.0]
TS,daily,45,13,,,[13.0]
TS,daily,46,13,,,[13.0]
QFLX,daily,35,6,,,[6.0]
TS,daily,47,13,,,[13.0]
U,daily,13,8,,,[8.0]
TS,daily,48,13,,,[13.0]
TS,daily,49,14,,,[14.0]
QFLX,daily,36,6,,,[6.0]
U,daily,14,9,,,[9.0]
TS,daily,50,14,,,[14.0]
TS,daily,51,13,,,[13.0]
U,daily,15,9,,,[9.0]
QFLX,daily,37,6,,,[6.0]
TS,daily,52,13,,,[13.0]
TS,daily,53,13,,,[13.0]
QFLX,daily,38,6,,,[6.0]
U,daily,16,10,,,[10.0]
TS,daily,54,13,,,[13.0]
QFLX,daily,39,6,,,[6.0]
TS,daily,55,13,,,[13.0]
U,daily,17,10,,,[10.0]
QFLX,daily,40,6,,,[6.0]
TS,daily,56,14,,,[14.0]
QFLX,daily,41,6,,,[6.0]
TS,daily,57,14,,,[14.0]
QFLX,daily,42,6,,,[6.0]
U,daily,18,9,,,[9.0]
QFLX,daily,43,6,,,[6.0]
TS,daily,58,13,,,[13.0]
QFLX,daily,44,6,,,[6.0]
TS,daily,59,13,,,[13.0]
U,daily,19,9,,,[9.0]
QFLX,daily,45,6,,,[6.0]
QFLX,daily,46,7,,,[7.0]
U,daily,20,8,,,[8.0]
QFLX,daily,47,6,,,[6.0]
QFLX,daily,48,6,,,[6.0]
U,daily,21,10,,,[10.0]
QFLX,daily,49,6,,,[6.0]
QFLX,daily,50,6,,,[6.0]
U,daily,22,11,,,[11.0]
QFLX,daily,51,6,,,[6.0]
QFLX,daily,52,6,,,[6.0]
U,daily,23,8,,,[8.0]
QFLX,daily,53,6,,,[6.0]
QFLX,daily,54,6,,,[6.0]
U,daily,24,10,,,[10.0]
QFLX,daily,55,6,,,[6.0]
U,daily,25,9,,,[9.0]
QFLX,daily,56,6,,,[6.0]
QFLX,daily,57,6,,,[6.0]
U,daily,26,9,,,[9.0]
QFLX,daily,58,6,,,[6.0]
QFLX,daily,59,6,,,[6.0]
U,daily,27,9,,,[9.0]
U,daily,28,9,,,[9.0]
U,daily,29,9,,,[9.0]
U,daily,30,9,,,[9.0]
U,daily,31,8,,,[8.0]
U,daily,32,9,,,[9.0]
U,daily,33,8,,,[8.0]
U,daily,34,10,,,[10.0]
U,daily,35,9,,,[9.0]
U,daily,36,10,,,[10.0]
U,daily,37,9,,,[9.0]
U,daily,38,9,,,[9.0]
U,daily,39,8,,,[8.0]
U,daily,40,8,,,[8.0]
U,daily,41,9,,,[9.0]
U,daily,42,9,,,[9.0]
U,daily,43,9,,,[9.0]
U,daily,44,9,,,[9.0]
U,daily,45,10,,,[10.0]
U,daily,46,9,,,[9.0]
U,daily,47,9,,,[9.0]
U,daily,48,9,,,[9.0]
U,daily,49,10,,,[10.0]
U,daily,50,10,,,[10.0]
U,daily,51,9,,,[9.0]
U,daily,52,8,,,[8.0]
U,daily,53,8,,,[8.0]
U,daily,54,9,,,[9.0]
U,daily,55,10,,,[10.0]
U,daily,56,9,,,[9.0]
U,daily,57,9,,,[9.0]
U,daily,58,8,,,[8.0]
U,daily,59,8,,,[8.0]
TMQ,daily,0,8,,,[8.0]
TMQ,daily,1,8,,,[8.0]
TMQ,daily,2,8,,,[8.0]
TMQ,daily,3,8,,,[8.0]
TMQ,daily,4,8,,,[8.0]
TMQ,daily,5,8,,,[8.0]
TMQ,daily,6,8,,,[8.0]
TMQ,daily,7,8,,,[8.0]
TMQ,daily,8,8,,,[8.0]
TMQ,daily,9,8,,,[8.0]
TMQ,daily,10,8,,,[8.0]
TMQ,daily,11,8,,,[8.0]
TMQ,daily,12,8,,,[8.0]
TMQ,daily,13,8,,,[8.0]
TMQ,daily,14,8,,,[8.0]
TMQ,daily,15,8,,,[8.0]
TMQ,daily,16,8,,,[8.0]
TMQ,daily,17,8,,,[8.0]
TMQ,daily,18,8,,,[8.0]
TMQ,daily,19,8,,,[8.0]
TMQ,daily,20,7,,,[7.0]
TMQ,daily,21,8,,,[8.0]
TMQ,daily,22,8,,,[8.0]
TMQ,daily,23,8,,,[8.0]
TMQ,daily,24,8,,,[8.0]
TMQ,daily,25,8,,,[8.0]
TMQ,daily,26,8,,,[8.0]
TMQ,daily,27,8,,,[8.0]
TMQ,daily,28,8,,,[8.0]
TMQ,daily,29,8,,,[8.0]
TMQ,daily,30,8,,,[8.0]
TMQ,daily,31,8,,,[8.0]
TMQ,daily,32,8,,,[8.0]
TMQ,daily,33,7,,,[7.0]
TMQ,daily,34,8,,,[8.0]
TMQ,daily,35,7,,,[7.0]
TMQ,daily,36,8,,,[8.0]
TMQ,daily,37,8,,,[8.0]
TMQ,daily,38,8,,,[8.0]
TMQ,daily,39,8,,,[8.0]
TMQ,daily,40,8,,,[8.0]
TMQ,daily,41,8,,,[8.0]
TMQ,daily,42,8,,,[8.0]
TMQ,daily,43,8,,,[8.0]
TMQ,daily,44,8,,,[8.0]
TMQ,daily,45,8,,,[8.0]
TMQ,daily,46,8,,,[8.0]
TMQ,daily,47,8,,,[8.0]
TMQ,daily,48,8,,,[8.0]
TMQ,daily,49,8,,,[8.0]
TMQ,daily,50,8,,,[8.0]
TMQ,daily,51,8,,,[8.0]
TMQ,daily,52,8,,,[8.0]
TMQ,daily,53,8,,,[8.0]
TMQ,daily,54,8,,,[8.0]
TMQ,daily,55,8,,,[8.0]
TMQ,daily,56,8,,,[8.0]
TMQ,daily,57,8,,,[8.0]
TMQ,daily,58,7,,,[7.0]
TMQ,daily,59,8,,,[8.0]
PS,daily,0,14,,,[14.0]
PS,daily,1,15,,,[15.0]
PS,daily,2,15,,,[15.0]
PS,daily,3,15,,,[15.0]
PS,daily,4,15,,,[15.0]
PS,daily,5,14,,,[14.0]
PS,daily,6,14,,,[14.0]
PS,daily,7,14,,,[14.0]
PS,daily,8,14,,,[14.0]
PS,daily,9,15,,,[15.0]
PS,daily,10,14,,,[14.0]
PS,daily,11,14,,,[14.0]
PS,daily,12,15,,,[15.0]
PS,daily,13,15,,,[15.0]
PS,daily,14,15,,,[15.0]
PS,daily,15,15,,,[15.0]
PS,daily,16,15,,,[15.0]
PS,daily,17,15,,,[15.0]
PS,daily,18,14,,,[14.0]
PS,daily,19,15,,,[15.0]
PS,daily,20,15,,,[15.0]
PS,daily,21,14,,,[14.0]
PS,daily,22,15,,,[15.0]
PS,daily,23,15,,,[15.0]
PS,daily,24,15,,,[15.0]
PS,daily,25,15,,,[15.0]
PS,daily,26,15,,,[15.0]
PS,daily,27,15,,,[15.0]
PS,daily,28,15,,,[15.0]
PS,daily,29,15,,,[15.0]
PS,daily,30,14,,,[14.0]
PS,daily,31,14,,,[14.0]
PS,daily,32,15,,,[15.0]
PS,daily,33,14,,,[14.0]
PS,daily,34,15,,,[15.0]
PS,daily,35,14,,,[14.0]
PS,daily,36,15,,,[15.0]
PS,daily,37,15,,,[15.0]
PS,daily,38,15,,,[15.0]
PS,daily,39,15,,,[15.0]
PS,daily,40,15,,,[15.0]
PS,daily,41,15,,,[15.0]
PS,daily,42,15,,,[15.0]
SHFLX,daily,0,8,,,[8.0]
PS,daily,43,15,,,[15.0]
SHFLX,daily,1,8,,,[8.0]
PS,daily,44,15,,,[15.0]
SHFLX,daily,2,7,,,[7.0]
PS,daily,45,14,,,[14.0]
SHFLX,daily,3,7,,,[7.0]
PS,daily,46,15,,,[15.0]
SHFLX,daily,4,7,,,[7.0]
PS,daily,47,15,,,[15.0]
SHFLX,daily,5,8,,,[8.0]
PS,daily,48,15,,,[15.0]
SHFLX,daily,6,8,,,[8.0]
PS,daily,49,15,,,[15.0]
SHFLX,daily,7,7,,,[7.0]
PS,daily,50,15,,,[15.0]
SHFLX,daily,8,7,,,[7.0]
PS,daily,51,15,,,[15.0]
SHFLX,daily,9,6,,,[6.0]
PS,daily,52,15,,,[15.0]
SHFLX,daily,10,7,,,[7.0]
PS,daily,53,15,,,[15.0]
SHFLX,daily,11,7,,,[7.0]
PS,daily,54,15,,,[15.0]
SHFLX,daily,12,7,,,[7.0]
PS,daily,55,15,,,[15.0]
SHFLX,daily,13,6,,,[6.0]
PS,daily,56,14,,,[14.0]
SHFLX,daily,14,7,,,[7.0]
PS,daily,57,15,,,[15.0]
SHFLX,daily,15,7,,,[7.0]
PS,daily,58,14,,,[14.0]
SHFLX,daily,16,7,,,[7.0]
PS,daily,59,15,,,[15.0]
SHFLX,daily,17,7,,,[7.0]
SHFLX,daily,18,7,,,[7.0]
SHFLX,daily,19,7,,,[7.0]
SHFLX,daily,20,7,,,[7.0]
SHFLX,daily,21,7,,,[7.0]
SHFLX,daily,22,7,,,[7.0]
SHFLX,daily,23,7,,,[7.0]
SHFLX,daily,24,7,,,[7.0]
SHFLX,daily,25,7,,,[7.0]
SHFLX,daily,26,7,,,[7.0]
SHFLX,daily,27,7,,,[7.0]
SHFLX,daily,28,7,,,[7.0]
SHFLX,daily,29,7,,,[7.0]
SHFLX,daily,30,8,,,[8.0]
SHFLX,daily,31,8,,,[8.0]
SHFLX,daily,32,7,,,[7.0]
SHFLX,daily,33,7,,,[7.0]
SHFLX,daily,34,7,,,[7.0]
SHFLX,daily,35,7,,,[7.0]
SHFLX,daily,36,7,,,[7.0]
SHFLX,daily,37,7,,,[7.0]
SHFLX,daily,38,7,,,[7.0]
SHFLX,daily,39,7,,,[7.0]
SHFLX,daily,40,7,,,[7.0]
SHFLX,daily,41,7,,,[7.0]
SHFLX,daily,42,7,,,[7.0]
SHFLX,daily,43,7,,,[7.0]
SHFLX,daily,44,7,,,[7.0]
SHFLX,daily,45,7,,,[7.0]
SHFLX,daily,46,8,,,[8.0]
