variable,level,size
T850,br_7,11865169
T850,br_8,20758765
T850,br_9,24116552
T850,br_10,28722196
T850,br_11,33408818
T850,br_12,38732630
T850,br_13,43068683
T850,br_14,46873722
T850,br_15,52544060
T850,br_16,61704224
T850,br_17,66890334
T850,br_18,70335892
T850,br_19,75230718
T850,br_20,79681295
T850,br_21,83220378
T850,br_22,88084007
TAUX,orig,131772766
TAUX,br_1,23598211
TAUX,br_2,28023602
TAUX,br_3,32534180
TAUX,br_4,37578611
TAUX,br_5,41695077
TAUX,br_6,46674487
TAUX,br_7,52160984
TAUX,br_8,61421811
TAUX,br_9,66959917
TAUX,br_10,70028869
TAUX,br_11,75045735
TAUX,br_12,79756158
TAUX,br_13,83075203
TAUX,br_14,88279060
TAUX,br_15,92663145
TAUX,br_16,102344626
TAUX,br_17,106484852
TAUX,br_18,111048072
TAUX,br_19,115906442
TAUX,br_20,120139145
TAUX,br_21,123735664
TAUX,br_22,127723014
TAUY,orig,132594558
TAUY,br_1,25061715
TAUY,br_2,29532764
TAUY,br_3,34173897
TAUY,br_4,39227492
TAUY,br_5,43561896
TAUY,br_6,47424895
TAUY,br_7,53386181
TAUY,br_8,62754703
TAUY,br_9,68072566
TAUY,br_10,71350316
TAUY,br_11,76314984
TAUY,br_12,80998993
TAUY,br_13,84319646
TAUY,br_14,89339645
TAUY,br_15,93684278
TAUY,br_16,103570530
TAUY,br_17,107354466
TAUY,br_18,112271250
TAUY,br_19,117112081
TAUY,br_20,121146330
TAUY,br_21,124790454
TAUY,br_22,128543214
TMQ,orig,119905278
TMQ,br_1,11536485
TMQ,br_2,14912916
TMQ,br_3,18174365
TMQ,br_4,22356381
TMQ,br_5,27317455
TMQ,br_6,33868631
TMQ,br_7,40927296
TMQ,br_8,50482786
TMQ,br_9,55188688
TMQ,br_10,59004179
TMQ,br_11,63779637
TMQ,br_12,68052083
TMQ,br_13,71702222
TMQ,br_14,76384395
TMQ,br_15,80835178
TMQ,br_16,90513022
TMQ,br_17,94214826
TMQ,br_18,99128744
TMQ,br_19,103882504
TMQ,br_20,108007997
TMQ,br_21,111670313
TMQ,br_22,115411588
TREFHT,orig,93970697
TREFHT,br_1,1595824
TREFHT,br_2,2696416
TREFHT,br_3,2953590
TREFHT,br_4,4830551
TREFHT,br_5,6799816
TREFHT,br_6,9277460
TREFHT,br_7,12923320
TREFHT,br_8,21577546
TREFHT,br_9,25118543
TREFHT,br_10,29797721
TREFHT,br_11,34360229
TREFHT,br_12,39367910
TREFHT,br_13,43858874
TREFHT,br_14,47985650
TREFHT,br_15,53817146
TREFHT,br_16,63062064
TREFHT,br_17,68263713
TREFHT,br_18,71785742
TREFHT,br_19,76724071
TREFHT,br_20,81314174
TREFHT,br_21,84708744
TREFHT,br_22,89645762
TREFHTMN,orig,95047407
TREFHTMN,br_1,1626949
TREFHTMN,br_2,3062612
TREFHTMN,br_3,3127188
TREFHTMN,br_4,5366754
TREFHTMN,br_5,7382821
TREFHTMN,br_6,10158179
TREFHTMN,br_7,14000294
TREFHTMN,br_8,22852665
TREFHTMN,br_9,26566454
TREFHTMN,br_10,31241659
TREFHTMN,br_11,36053604
TREFHTMN,br_12,41036862
TREFHTMN,br_13,45508601
TREFHTMN,br_14,49463269
TREFHTMN,br_15,55053903
TREFHTMN,br_16,64336719
TREFHTMN,br_17,69346669
TREFHTMN,br_18,73059219
TREFHTMN,br_19,77988384
TREFHTMN,br_20,82506269
TREFHTMN,br_21,85950870
TREFHTMN,br_22,90731352
TREFHTMX,orig,94325174
TREFHTMX,br_1,1594044
TREFHTMX,br_2,2593451
TREFHTMX,br_3,3330930
TREFHTMX,br_4,4715165
TREFHTMX,br_5,7024663
TREFHTMX,br_6,9518307
TREFHTMX,br_7,13302106
TREFHTMX,br_8,22029816
TREFHTMX,br_9,25643038
TREFHTMX,br_10,30349908
TREFHTMX,br_11,35073773
TREFHTMX,br_12,40091737
TREFHTMX,br_13,44583090
TREFHTMX,br_14,48431879
TREFHTMX,br_15,54238062
TREFHTMX,br_16,63524797
TREFHTMX,br_17,68622879
TREFHTMX,br_18,72248429
TREFHTMX,br_19,77169121
TREFHTMX,br_20,81742454
TREFHTMX,br_21,85133003
TREFHTMX,br_22,90001633
TS,orig,94048695
TS,br_1,1607166
TS,br_2,2741640
TS,br_3,3174004
TS,br_4,4983985
TS,br_5,7017989
TS,br_6,9603737
TS,br_7,13139497
TS,br_8,21632840
TS,br_9,25135772
TS,br_10,29745149
TS,br_11,34187201
TS,br_12,39013599
TS,br_13,43437293
TS,br_14,48318542
TS,br_15,53804108
TS,br_16,63060319
TS,br_17,68302394
TS,br_18,71744107
TS,br_19,76689406
TS,br_20,81288765
TS,br_21,84708699
TS,br_22,89705487
U010,orig,110309249
U010,br_1,8161507
U010,br_2,10245413
U010,br_3,12585998
U010,br_4,15747863
U010,br_5,19605123
U010,br_6,24229137
U010,br_7,30488433
U010,br_8,40214466
U010,br_9,44114636
U010,br_10,48532503
U010,br_11,53028335
U010,br_12,57807069
U010,br_13,61670199
U010,br_14,65890901
U010,br_15,70378032
U010,br_16,80358832
U010,br_17,84696136
U010,br_18,88969231
U010,br_19,93715409
U010,br_20,97680684
U010,br_21,101396470
U010,br_22,105955952
U200,orig,124102859
U200,br_1,16559341
U200,br_2,19755673
U200,br_3,23018484
U200,br_4,26470110
U200,br_5,31754541
U200,br_6,37292042
U200,br_7,44685254
U200,br_8,54355463
U200,br_9,58839588
U200,br_10,62874701
U200,br_11,67674199
U200,br_12,71986031
U200,br_13,75549667
U200,br_14,79954220
U200,br_15,84115248
U200,br_16,94558498
U200,br_17,98358872
U200,br_18,103171686
U200,br_19,107904186
U200,br_20,111359554
U200,br_21,115364251
U200,br_22,119647457
U500,orig,126577820
U500,br_1,18350811
U500,br_2,21413060
U500,br_3,24832498
U500,br_4,28979150
U500,br_5,34427322
