variable,level,size
FSNT,zfp_p_16,23098153
FSNT,zfp_p_18,27773147
FSNT,zfp_p_20,32448243
FSNT,zfp_p_22,37123249
FSNT,zfp_p_24,41798321
FSNT,zfp_p_26,46473400
FSNTC,orig,47848418
FSNTC,zfp_p_6,3772884
FSNTC,zfp_p_8,5184285
FSNTC,zfp_p_10,7577949
FSNTC,zfp_p_12,10488058
FSNTC,zfp_p_14,13897414
FSNTC,zfp_p_16,18184839
FSNTC,zfp_p_18,22858337
FSNTC,zfp_p_20,27534798
FSNTC,zfp_p_22,32210244
FSNTC,zfp_p_24,36885344
FSNTC,zfp_p_26,41560437
FSNTOA,orig,52877381
FSNTOA,zfp_p_6,3781423
FSNTOA,zfp_p_8,5449029
FSNTOA,zfp_p_10,9115451
FSNTOA,zfp_p_12,13723128
FSNTOA,zfp_p_14,18377442
FSNTOA,zfp_p_16,23051804
FSNTOA,zfp_p_18,27726911
FSNTOA,zfp_p_20,32401945
FSNTOA,zfp_p_22,37077019
FSNTOA,zfp_p_24,41752095
FSNTOA,zfp_p_26,46427164
FSNTOAC,orig,47819750
FSNTOAC,zfp_p_6,3768684
FSNTOAC,zfp_p_8,5175596
FSNTOAC,zfp_p_10,7558990
FSNTOAC,zfp_p_12,10465758
FSNTOAC,zfp_p_14,13876152
FSNTOAC,zfp_p_16,18161432
FSNTOAC,zfp_p_18,22834352
FSNTOAC,zfp_p_20,27510758
FSNTOAC,zfp_p_22,32186085
FSNTOAC,zfp_p_24,36861190
FSNTOAC,zfp_p_26,41536290
ICEFRAC,orig,12141418
ICEFRAC,zfp_p_6,1753787
ICEFRAC,zfp_p_8,2454195
ICEFRAC,zfp_p_10,3250799
ICEFRAC,zfp_p_12,4141341
ICEFRAC,zfp_p_14,5121474
ICEFRAC,zfp_p_16,6156802
ICEFRAC,zfp_p_18,7220174
ICEFRAC,zfp_p_20,8293645
ICEFRAC,zfp_p_22,9369523
ICEFRAC,zfp_p_24,10445667
ICEFRAC,zfp_p_26,11521857
ICIMR,orig,874019
ICIMR,zfp_p_6,588796
ICIMR,zfp_p_8,588796
ICIMR,zfp_p_10,588796
ICIMR,zfp_p_12,588796
ICIMR,zfp_p_14,588796
ICIMR,zfp_p_16,588796
ICIMR,zfp_p_18,588796
ICIMR,zfp_p_20,588796
ICIMR,zfp_p_22,588796
ICIMR,zfp_p_24,588796
ICIMR,zfp_p_26,588796
ICLDIWP,orig,874006
ICLDIWP,zfp_p_6,588783
ICLDIWP,zfp_p_8,588783
ICLDIWP,zfp_p_10,588783
ICLDIWP,zfp_p_12,588783
ICLDIWP,zfp_p_14,588783
ICLDIWP,zfp_p_16,588783
ICLDIWP,zfp_p_18,588783
ICLDIWP,zfp_p_20,588783
ICLDIWP,zfp_p_22,588783
ICLDIWP,zfp_p_24,588783
ICLDIWP,zfp_p_26,588783
ICLDTWP,orig,874031
ICLDTWP,zfp_p_6,588808
ICLDTWP,zfp_p_8,588808
ICLDTWP,zfp_p_10,588808
ICLDTWP,zfp_p_12,588808
ICLDTWP,zfp_p_14,588808
ICLDTWP,zfp_p_16,588808
ICLDTWP,zfp_p_18,588808
ICLDTWP,zfp_p_20,588808
ICLDTWP,zfp_p_22,588808
ICLDTWP,zfp_p_24,588808
ICLDTWP,zfp_p_26,588808
ICWMR,orig,874021
ICWMR,zfp_p_6,588798
ICWMR,zfp_p_8,588798
ICWMR,zfp_p_10,588798
ICWMR,zfp_p_12,588798
ICWMR,zfp_p_14,588798
ICWMR,zfp_p_16,588798
ICWMR,zfp_p_18,588798
ICWMR,zfp_p_20,588798
ICWMR,zfp_p_22,588798
ICWMR,zfp_p_24,588798
ICWMR,zfp_p_26,588798
IWC,orig,874017
IWC,zfp_p_6,588794
IWC,zfp_p_8,588794
IWC,zfp_p_10,588794
IWC,zfp_p_12,588794
IWC,zfp_p_14,588794
IWC,zfp_p_16,588794
IWC,zfp_p_18,588794
IWC,zfp_p_20,588794
IWC,zfp_p_22,588794
IWC,zfp_p_24,588794
IWC,zfp_p_26,588794
