set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile,fftmax,fftratio,vfftmax,vfftratio,variable,levels,algs,ratios
orig_TREFHT,0,0.9999999999999998,9889.060680194314,8954.184049935811,-1.8855279670423367e-16,1.0,0.0,23315.159592314096,0.1589375016447705,1564.965592663469,53.90402069266347,1564.965592663469,53.90402069266347,TREFHT,18,zfp,2.38
orig_TREFHTMN,0,1.0000000000000002,8089.746069187742,7302.424851117396,-2.7101038748535813e-17,1.0,0.0,21082.91140549517,0.202535352805652,1089.2943241464238,44.011026248766406,1089.2943241464238,44.011026248766406,TREFHTMN,18,zfp,2.24
orig_TREFHTMX,0,0.9999999999999998,9949.505631061757,9034.757525037818,-1.381770493742255e-16,1.0,0.0,23390.934713788047,0.175466587180775,1243.4974556597683,50.19478294818851,1243.4974556597683,50.19478294818851,TREFHTMX,18,zfp,2.28
orig_TS,0,1.0000000000000002,7621.741868888534,6873.497127397623,5.636646627844084e-17,1.0,0.0,20463.211039903843,0.2131303562228116,1080.6058068780155,41.78284629232248,1080.6058068780155,41.78284629232248,TS,18,zfp,2.4
orig_U010,0,1.0,527.6500342422021,205.02035671272327,-6.998374439758864e-18,1.0,0.0,2105.8672406621213,0.0076169351280126,119.19483008782063,9.058509254630996,119.19483008782063,9.058509254630996,U010,22,zfp,1.73
orig_U200,0,1.0,212.94166256960503,167.86127802552883,1.6724822401489357e-18,1.0,0.0,2055.2974225288817,0.0437232174289968,524.9078222196835,27.75772728828869,524.9078222196835,27.75772728828869,U200,20,zfp,1.88
orig_U500,0,1.0000000000000002,121.03207261013252,108.29343872373708,7.304310191670861e-18,1.0,0.0,1129.8729739281498,0.0855917881866812,211.33209038541384,13.679614363033672,211.33209038541384,13.679614363033672,U500,20,zfp,1.81
orig_U850,0,1.0000000000000002,42.90827832707979,25.76774066771049,6.8385048138622745e-18,1.0,0.0,557.1900703348356,0.2223184671048684,171.05147568628652,14.071899715177912,171.05147568628652,14.071899715177912,U850,24,zfp,1.37
orig_VBOT,0,1.0,21.37728232822065,7.015740301686747,9.677508280333576e-19,1.0,0.0,188.60599754904345,0.1487429451896925,34.34041512661154,5.829645580692261,34.34041512661154,5.829645580692261,VBOT,20,zfp,1.72
orig_WSPDSRFAV,0,1.0000000000000002,71.65591336939701,54.99340254158196,-3.830847676115449e-18,1.0,0.0,1761.2650093419804,0.2241099193431014,74.37012987172493,11.981622801070996,74.37012987172493,11.981622801070996,WSPDSRFAV,16,zfp,2.33
orig_Z050,0,0.9999999999999996,41940.6122242251,41090.98506131878,-2.237781205947685e-16,1.0,0.0,48146.40208678679,0.0041889880888561,176.78404541375392,9.10377632575474,176.78404541375392,9.10377632575474,Z050,22,zfp,2.08
orig_Z500,0,1.0,24637.156797344676,23011.812356917464,-4.272282347451998e-16,1.0,0.0,36852.54996909299,0.0401963943290414,232.8987737773552,9.511163534929327,232.8987737773552,9.511163534929327,Z500,20,zfp,2.19
