variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio
TAUX,daily,15,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,16,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,17,4,81805017.0,1.6108152144262742,16,57282112.0,2.3004173798619716
TAUX,daily,18,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,19,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,20,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,21,4,81805017.0,1.6108152144262742,14,47187862.0,2.792514015574598
TAUX,daily,22,3,67420587.0,1.9544885600002266,14,47187862.0,2.792514015574598
TAUX,daily,23,3,67420587.0,1.9544885600002266,14,47187862.0,2.792514015574598
TAUY,daily,0,3,69087929.0,1.919214541805125,16,57948139.0,2.2881590382048334
TAUY,daily,1,4,82721882.0,1.6028958093579158,14,47854464.0,2.7707876531643945
TAUY,daily,2,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,3,4,82721882.0,1.6028958093579158,14,47854464.0,2.7707876531643945
TAUY,daily,4,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,5,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,6,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,7,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,8,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,9,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,10,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,11,4,82721882.0,1.6028958093579158,16,57948139.0,2.2881590382048334
TAUY,daily,12,4,82721882.0,1.6028958093579158,14,47854464.0,2.7707876531643945
TAUY,daily,13,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,14,4,82721882.0,1.6028958093579158,14,47854464.0,2.7707876531643945
TAUY,daily,15,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,16,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,17,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,18,4,82721882.0,1.6028958093579158,14,47854464.0,2.7707876531643945
TAUY,daily,19,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,20,4,82721882.0,1.6028958093579158,14,47854464.0,2.7707876531643945
TAUY,daily,21,4,82721882.0,1.6028958093579158,16,57948139.0,2.2881590382048334
TAUY,daily,22,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TAUY,daily,23,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945
TMQ,daily,0,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,1,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,2,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,3,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,4,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,5,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,6,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,7,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,8,5,84426006.0,1.4202410333138347,16,49403321.0,2.4270691842760934
TMQ,daily,9,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,10,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,11,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,12,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,13,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,14,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,15,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
TMQ,daily,16,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934
